City,State,Geo.ID,Risk,Vulnerability,Exposure,Sensitivity,Adaptive Capacity,Readiness,Social,Governance,Economic,Historical Average Cost of Cold Event,Probability of Heat Event in 2040
Abilene,TX,1600000US4801000,0.273499078,0.476101592,0.070896565,0.588600341,0.636397156,0.314171634,0.120898975,0.22060892,0.601007007,0,0.046448
Akron,OH,1600000US3901000,0.377615706,0.451853818,0.303377594,0.736973573,0.833265936,0.507761981,0.514565021,0.514348213,0.494372709,0,0.019126
Albuquerque,NM,1600000US3502000,0.359672009,0.448611424,0.270732593,0.489957604,0.592734756,0.631971634,0.317515164,0.795842931,0.782556807,0,0.062842
Alexandria,VA,1600000US5101000,0.655764042,0.363280488,0.948247596,0.272740691,0.546179714,0.523200248,0.362578497,0.609320849,0.597701399,0,0.010929
Allentown,PA,1600000US4202000,0.719052785,0.699600526,0.738505043,0.877971197,0.478770144,0.393284809,0.425955125,0.245750635,0.508148668,0,0.0054645
Amarillo,TX,1600000US4803000,0.31750997,0.480037926,0.154982015,0.515479544,0.555403691,0.364131608,0.1332197,0.323916935,0.635258189,0,0.062842
Anaheim,CA,1600000US0602000,0.679912388,0.607710399,0.752114378,0.522898901,0.307478104,0.238532903,0.290318082,0.366885437,0.05839519,0,0.032787
Anchorage,AK,1600000US0203000,0.195268154,0.390536308,0,0.312535913,0.531463297,0.365687718,0.066165944,0.763855378,0.267041833,0,
Ann Arbor,MI,1600000US2603000,0.309316949,0.201036688,0.41759721,0.336419385,0.934346009,0.846281523,0.889023387,0.82855367,0.821267512,0,0.0054645
Antioch,CA,1600000US0602252,0.389827944,0.407901464,0.371754425,0.461484466,0.645681538,0.453829954,0.390132813,0.680222435,0.291134615,0,0.04918
Arlington,TX,1600000US4804000,0.427597474,0.473944685,0.381250263,0.360806344,0.412916974,0.417087415,0.177955031,0.472811186,0.600496029,0,0.027322
Arvada,CO,1600000US0803455,0.323374884,0.350319853,0.296429914,0.330968116,0.630328409,0.577774278,0.693215072,0.750923368,0.289184393,0,0.051913
Atlanta,GA,1600000US1304000,0.35417124,0.386000059,0.322342422,0.429427779,0.657427661,0.551071731,0.240164098,0.809638532,0.603412564,0,0.0027322
Aurora (CO),CO,1600000US0804000,0.325626222,0.464061726,0.187190719,0.457401881,0.529278429,0.557648476,0.416584263,0.695948302,0.560412861,0,0.051913
Aurora (IL),IL,1600000US1703012,0.449875915,0.436874811,0.46287702,0.412699556,0.538949935,0.333381273,0.307348364,0.387187194,0.305608261,0,0.013661
Austin,TX,1600000US4805000,0.323526778,0.385982257,0.261071298,0.254705131,0.482740616,0.686704603,0.484006447,0.773961391,0.80214597,0,0.043716
Bakersfield,CA,1600000US0603526,0.339318709,0.456844275,0.221793143,0.487943139,0.57425459,0.394198631,0.24077255,0.533542093,0.40828125,0,0.046448
Baltimore,MD,1600000US2404000,0.63571092,0.438386662,0.833035178,0.722738822,0.845965498,0.498351686,0.165456718,0.716780381,0.612817959,0,0.0054645
Baton Rouge,LA,1600000US2205000,0.369708458,0.479374786,0.260042129,0.656441145,0.697691573,0.364241068,0.227587719,0.659260163,0.205875323,0,0.0054645
Bayamon,PR,1600000US7206593,0.58938749,0.530582843,0.648192137,0.579277683,0.518111997,0.429483628,0.335648513,0.318900746,0.633901626,0,
Beaumont,TX,1600000US4807000,0.320935416,0.54703196,0.094838873,0.691870922,0.597807003,0.450047748,0.223412138,0.582689989,0.544041116,0,0.0081967
Bellevue,WA,1600000US5305210,0.308512112,0.256977708,0.360046516,0.18889408,0.674938664,0.745513261,0.772656072,0.87214815,0.591735559,0,0.027322
Berkeley,CA,1600000US0606000,0.673839902,0.368317262,0.979362542,0.411053155,0.67441863,0.798836738,0.880018377,0.856989113,0.659502723,0,0.019126
Billings,MT,1600000US3006550,0.310603214,0.407971054,0.213235375,0.503615824,0.687673716,0.545349372,0.395532432,0.622329737,0.618185946,0,0.068306
Birmingham,AL,1600000US0107000,0.294155732,0.486250512,0.102060952,0.766907381,0.794406357,0.521546958,0.521627022,0.583001743,0.460012108,0,0.0054645
Boise City,ID,1600000US1608830,0.27706334,0.315745614,0.238381066,0.350058226,0.718566998,0.608537142,0.766494748,0.691956962,0.367159716,0,0.019126
Boston,MA,1600000US2507000,0.640133843,0.284280272,0.995987415,0.504814008,0.936253465,0.690168244,0.41229717,0.807304436,0.850903126,0,0.0054645
Bridgeport,CT,1600000US0908000,0.765461709,0.610889935,0.920033482,0.790994386,0.569214516,0.39784825,0.403533895,0.506605527,0.283405329,0,0.0054645
Brownsville,TX,1600000US4810768,0.346879606,0.61341808,0.080341132,0.59955395,0.372717789,0.332297984,0.049999934,0.490213016,0.456681003,0,0.04918
Buffalo,NY,1600000US3611000,0.576059109,0.448017774,0.704100443,0.772680908,0.87664536,0.404346839,0.232178708,0.532530987,0.448330821,0,0
Burbank,CA,1600000US0608954,0.539623262,0.410025404,0.66922112,0.421843913,0.601793106,0.21853906,0.101872943,0.478638837,0.0751054,0,0.043716
Burlington,VT,1600000US5010675,0.26331566,0.28043572,0.246195601,0.540813271,0.979941832,0.661313341,0.94909862,0.757202458,0.277638945,0,0
Cambridge,MA,1600000US2511000,0.641657319,0.283873867,0.99944077,0.287303393,0.71955566,0.783737413,0.853471935,0.671305127,0.826435179,0,0.0054645
