City,State,Geo.ID,Overall Risk,Overall Readiness
Abilene,TX,1600000US4801000,0.392461184,0.314171634
Akron,OH,1600000US3901000,0.394387276,0.507761981
Albuquerque,NM,1600000US3502000,0.330013967,0.631971634
Alexandria,VA,1600000US5101000,0.553476868,0.523200248
Allentown,PA,1600000US4202000,0.686575272,0.393284809
Amarillo,TX,1600000US4803000,0.38199715,0.364131608
Anaheim,CA,1600000US0602000,0.554055181,0.238532903
Anchorage,AK,1600000US0203000,0.283643122,0.365687718
Ann Arbor,MI,1600000US2603000,0.302687567,0.846281523
Antioch,CA,1600000US0602252,0.3725411,0.453829954
Arlington,TX,1600000US4804000,0.390309052,0.417087415
Arvada,CO,1600000US0803455,0.381108624,0.577774278
Atlanta,GA,1600000US1304000,0.325297155,0.551071731
Aurora (CO),CO,1600000US0804000,0.375070407,0.557648476
Aurora (IL),IL,1600000US1703012,0.418760294,0.333381273
Austin,TX,1600000US4805000,0.292556961,0.686704603
Bakersfield,CA,1600000US0603526,0.365465692,0.394198631
Baltimore,MD,1600000US2404000,0.508627803,0.498351686
Baton Rouge,LA,1600000US2205000,0.411281682,0.364241068
Bayam<U+0086>n,PR,1600000US7206593,0.460619673,0.429483628
Beaumont,TX,1600000US4807000,0.477295198,0.450047748
Bellevue,WA,1600000US5305210,0.321836249,0.745513261
Berkeley,CA,1600000US0606000,0.515249301,0.798836738
Billings,MT,1600000US3006550,0.314502881,0.545349372
Birmingham,AL,1600000US0107000,0.305311625,0.521546958
Boise City,ID,1600000US1608830,0.359522425,0.608537142
Boston,MA,1600000US2507000,0.53859043,0.690168244
Bridgeport,CT,1600000US0908000,0.681038413,0.39784825
Brownsville,TX,1600000US4810768,0.391343974,0.332297984
Buffalo,NY,1600000US3611000,0.57193745,0.404346839
Burbank,CA,1600000US0608954,0.534742111,0.21853906
Burlington,VT,1600000US5010675,0.389140197,0.661313341
Cambridge,MA,1600000US2511000,0.565292413,0.783737413
Cape Coral,FL,1600000US1210275,0.447112351,0.387964362
Carlsbad,CA,1600000US0611194,0.286373594,0.635383643
Carolina,PR,1600000US7214290,0.531783812,0.432361557
Carrollton,TX,1600000US4813024,0.414729092,0.541749472
Cedar Rapids,IA,1600000US1912000,0.285604458,0.544497556
Centennial,CO,1600000US0812815,0.330392765,0.587376686
Chandler,AZ,1600000US0412000,0.323482501,0.63267146
Charleston (SC),SC,1600000US4513330,0.337272125,0.504766871
Charleston (WV),WV,1600000US5414600,0.314639981,0.444131606
Charlotte,NC,1600000US3712000,0.27349415,0.551761846
Chattanooga,TN,1600000US4714000,0.315003769,0.369471856
Chesapeake,VA,1600000US5116000,0.314960848,0.535989126
Cheyenne,WY,1600000US5613900,0.341545512,0.463950905
Chicago,IL,1600000US1714000,0.647491256,0.493207904
Chula Vista,CA,1600000US0613392,0.457098218,0.477071178
